short_codes,trial_IDs,Time (s),pf:Fluorescence,ecoli:Fluorescence_1,OD:Raw_OD(590)
B2,cpd11594,80007.78483768275,293181.0,152032.0,0.696
B2,cpd11594,80600.32937255118,296280.0,146316.0,0.808
B2,cpd11594,81192.8603069079,238401.0,125952.0,0.74
B2,cpd11594,81785.41278311402,267116.0,135675.0,0.717
B2,cpd11594,82378.01498333334,235075.0,122434.0,0.709
B2,cpd11594,82970.4970736842,288696.0,154200.0,0.72
B2,cpd11594,83563.00952397661,303831.0,152413.0,0.761
B2,cpd11594,84155.58694203217,284903.0,140038.0,0.735
B2,cpd11594,84748.09366524122,311123.0,162520.0,0.716
B2,cpd11594,85340.68455683479,277609.0,138686.0,0.715
B2,cpd11594,85933.19015288743,288187.0,150014.0,0.667
B2,cpd11594,86525.72526571638,250293.0,134746.0,0.68
B2,cpd11594,87118.29743479531,286554.0,138632.0,0.717
B2,cpd11594,87710.8934945541,305433.0,152304.0,0.785
B2,cpd11594,88303.43357448831,347332.0,166845.0,0.725
B2,cpd11594,88895.99103355264,362649.0,165710.0,0.718
B2,cpd11594,89488.57056312133,301214.0,148445.0,0.752
B2,cpd11594,90081.15123461257,324248.0,163053.0,0.842
B2,cpd11594,90673.69300782164,349230.0,174308.0,0.552
B2,cpd11594,91266.24852909357,150533.0,74375.0,0.375
B2,cpd11594,91858.84774097223,369325.0,178841.0,0.703
B2,cpd11594,92451.36305288742,210301.0,118304.0,0.413
B2,cpd11594,93043.92179846491,183894.0,96654.0,0.352
B2,cpd11594,93636.40032390352,207542.0,94350.0,0.45
B2,cpd11594,94228.98776779971,256537.0,135947.0,0.571
B2,cpd11594,94821.50987280703,157178.0,72405.0,0.384
B2,cpd11594,95414.02378742692,204388.0,109865.0,0.337
B2,cpd11594,96006.56080076755,264680.0,154075.0,0.333
B2,cpd11594,96599.13363413741,273346.0,136732.0,0.481
B2,cpd11594,97191.73620968568,362708.0,166015.0,0.53
B2,cpd11594,97784.3233634503,250530.0,130419.0,0.359
B2,cpd11594,98376.93629802634,207312.0,125885.0,0.311
B2,cpd11594,98969.48580383773,349893.0,148256.0,0.439
B2,cpd11594,99562.07756118423,335531.0,133023.0,0.6
B2,cpd11594,100154.58667843566,205891.0,111849.0,0.314
B2,cpd11594,100747.10468548974,202195.0,80469.0,0.47
B2,cpd11594,101339.59629232455,346478.0,156220.0,0.56
B2,cpd11594,101932.0656324927,272318.0,127490.0,0.362
B2,cpd11594,102524.57027898391,366644.0,138270.0,0.439
B2,cpd11594,103117.08675807748,233384.0,85374.0,0.432
B2,cpd11594,103709.5841123538,127104.0,44740.0,0.333
B2,cpd11594,104302.12029649124,245852.0,125252.0,0.315
B2,cpd11594,104894.68458965643,154193.0,74016.0,0.228
B2,cpd11594,105487.22159170323,288572.0,100630.0,0.398
B2,cpd11594,106079.73390058479,167783.0,63478.0,0.478
B2,cpd11594,106672.28882744885,173077.0,59967.0,0.272
B2,cpd11594,107264.81512306287,79728.0,28092.0,0.231
B2,cpd11594,107857.33514046053,83937.0,30115.0,0.217
B2,cpd11594,108449.82728870615,72775.0,25783.0,0.21
B2,cpd11594,109042.31918245617,249236.0,101663.0,0.324
B2,cpd11594,109634.71801016082,295401.0,113526.0,0.41
B2,cpd11594,110227.27415252193,260199.0,107507.0,0.369
B2,cpd11594,110819.81853790204,74096.0,31806.0,0.22
B2,cpd11594,111412.33385233919,130742.0,45428.0,0.285
B2,cpd11594,112004.86944817251,166734.0,50336.0,0.356
B2,cpd11594,112597.31396655702,334923.0,140191.0,0.562
B2,cpd11594,113190.01028468566,96202.0,36849.0,0.227
B2,cpd11594,113782.53396783628,78923.0,27965.0,0.212
B2,cpd11594,114375.11549089913,125168.0,59466.0,0.231
